simpleUniqueID,t_ID,raw_T_pg-hr,tank,type,subtype,Date,weight,length,count,fish,timepoint,stable,prev_type,group,subtype,pair,outlier,group_timepoint,behavior_scores,Tetrad,paired_with,deseq_norm_OTU_125,deseq_norm_OTU_143,deseq_norm_OTU_155,deseq_norm_OTU_21,deseq_norm_OTU_376,deseq_norm_OTU_4,deseq_norm_OTU_438,deseq_norm_OTU_474,deseq_norm_OTU_6,OTU_125,OTU_143,OTU_155,OTU_21,OTU_376,OTU_4,OTU_438,OTU_474,OTU_6
DD.AS10.1,10.1,578.7353798,B2.left,D,D,20171223,4.87,550,69141,F10,first,y,D,DD,SD,y,ok,DD_first,1,T3,F9,0,1.754036634,0,0,2.282367087,8.34331288,0.907003002,0.907003002,7.530702225,0,0,0,0,1,12,0,0,10
DD.AS10.2,10.2,534.8003842,B2.left,D,D,20180202,4.7,554,12800,F10,second,y,D,DD,SD,y,bad,DD_second,1,T3,F11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DD.AS14.2,14.2,661.9025728,1.1.145,D,D,20180208,5.38,564,24775,F14,second,y,D,DD,SD,n,ok,DD_second,1,T4,F15,0.740045942,5.584414954,0,0,0,2.772357813,0,0,10.51973783,0,13,0,0,0,2,0,0,373
DD.AS18.1,18.1,NA,1.1.25,D,D,20180112,17.78,814,79146,F18,first,n,S,DD,SD,y,ok,DD_first,1,T5,F17,3.073194009,4.702965943,0,0.232739279,1.849053812,9.400452492,2.139448425,3.324737618,9.676678419,0,2,0,0,0,33,0,0,45
DD.AS18.2,18.2,NA,1.1.25,D,D,20180213,15.89,797,74009,F18,second,y,D,DD,SD,y,ok,DD_second,0.571428571,T5,F19,0.827347026,3.126911455,0,0,0,2.190873678,0,0,10.27272057,1,0,0,0,0,0,0,0,130
DD.AS2.1,2.1,776.3154126,source.1R,D,D,20171219,14.59,814,32334,F2,first,y,D,DD,SD,n,ok,DD_first,0.333333333,T1,F1,2.004119512,4.026904907,0,0,0.129212278,7.772104046,0,0.129212278,10.52504195,0,3,0,0,0,38,0,1,231
DD.AS22.1,22.1,725.5706431,source.1R,D,D,20180202,14.37,784,24555,F22,first,y,D,DD,SD,y,ok,DD_first,0.948717949,T6,F21,1.629211515,5.740333567,0,0,0,4.052376832,0,0,11.1540759,0,6,0,0,0,5,0,0,413
DD.AS22.2,22.2,720.137947,source.1R,D,D,20180213,14.32,878,36594,F22,second,y,D,DD,SD,y,ok,DD_second,0.666666667,T6,F23,0.265817424,4.993574148,0,0,0,3.36973882,0.265817424,0,11.03793258,0,1,0,0,0,3,0,0,294
DD.AS6.1,6.1,727.5013245,1.1.275,D,D,20180110,8.4,701,59010,F6,first,n,S,DD,SD,y,ok,DD_first,1,T2,F5,1.122020455,5.011775841,0,0,0,4.143544703,0,0,10.16046862,2,5,0,0,0,4,0,0,238
DD.AS6.2,6.2,707.5863198,1.1.275,D,D,20180209,8.99,687,47053,F6,second,y,D,DD,SD,y,ok,DD_second,1,T2,F7,1.544285169,5.476804446,0,0,0,2.875327931,0,0,11.4800427,0,9,0,0,0,0,0,0,393
DS.AS11.1,11.1,577.0820715,1.1.250,D,D,20171223,1.97,412,78853,F11,first,n,S,DS,ID,y,ok,DS_first,1,T3,F12,8.473782374,0,2.36961559,12.70785297,7.969555207,16.88498578,5.26832385,5.354889178,7.682094704,5,0,0,133,7,2515,0,0,3
DS.AS11.2,11.2,427.9457527,B2.left,S,TS,20180202,2.26,431,66844,F11,second,n,D,DS,TS,y,ok,DS_second,0.333333333,T3,F10,3.209489167,4.98952307,1.853758933,1.489009295,1.489009295,8.883928224,0.23644762,0,10.43659386,1,3,0,0,0,35,0,0,111
DS.AS15.1,15.1,346.0681386,B2.right,D,D,20180101,3.48,492,29150,F15,first,n,S,DS,ID,y,ok,DS_first,1,T4,F16,3.348393524,0.440030848,0,6.042923734,2.108264541,10.48397092,1.231217713,2.403674467,7.712144723,1,0,0,3,0,190,0,0,32
DS.AS15.2,15.2,492.0718158,1.1.145,S,TS,20180208,3.28,531,50266,F15,second,n,D,DS,TS,y,ok,DS_second,-0.666666667,T4,F14,1.22820911,4.891146514,0,0,0,4.450852291,0.43738749,0,11.77461274,0,3,0,0,0,0,0,0,285
DS.AS23.1,23.1,585.2062158,1.1.85,D,D,20180202,7.5,635,54847,F23,first,n,S,DS,ID,y,ok,DS_first,0.666666667,T6,F24,0,2.697820944,0,1.275376271,0,5.492900625,0,1.275376271,11.4530702,0,0,0,0,0,1,0,1,102
DS.AS23.2,23.2,441.0047138,source.1R,S,TS,20180213,6.79,632,27841,F23,second,n,D,DS,TS,y,ok,DS_second,-1,T6,F22,0,6.392226927,0,0,0.757707217,8.505750568,1.588654654,0.757707217,11.14948574,0,3,0,0,0,33,1,0,233
DS.AS3.1,3.1,736.7970385,1.1.85,D,D,20171219,11.98,729,3879,F3,first,n,S,DS,ID,n,ok,DS_first,0.955555556,T1,F4,0,0,0,0,0,8.265080779,0,0,7.658403126,0,0,0,0,0,32,0,0,21
DS.AS7.2,7.2,678.6744796,1.1.275,S,TS,20180209,5.56,590,6449,F7,second,n,D,DS,TS,n,ok,DS_second,-1,T2,F6,1.076222942,4.271606418,0,0,0,3.988803819,0,0,10.17209896,0,7,0,0,0,6,0,0,390
SD.AS1.2,1.2,644.9420027,1.1.85,D,TD,20180110,11.26,714,34660,F1,second,n,S,SD,TD,n,ok,SD_second,1,T1,F4,6.708543658,0,0,7.651381065,7.081649429,14.84340677,7.081649429,4.558155423,6.044430271,3,0,0,4,5,822,1,1,2
SD.AS13.1,13.1,667.5910798,1.1.145,S,S,20180101,4.73,572,71341,F13,first,n,D,SD,IS,y,ok,SD_first,-1,T4,F14,0.575203238,4.974760154,0,0,0,4.565926,0,0,10.38500841,0,4,0,0,0,4,0,0,270
SD.AS13.2,13.2,621.0402918,B2.right,D,TD,20180208,6,586,27810,F13,second,n,S,SD,TD,y,ok,SD_second,1,T4,F16,1.488262602,5.399073312,0,0.235839385,0,2.772402973,0,0,11.10535105,0,5,0,1,0,2,0,0,403
SD.AS17.1,17.1,299.3133177,1.1.25,S,S,20180112,6.7,628,58045,F17,first,y,S,SD,IS,y,ok,SD_first,-1,T5,F18,3.971978807,4.985213318,0.090836668,0,4.361514243,12.20841961,4.409474654,3.43663091,8.784323369,5,2,1,0,4,434,1,1,44
SD.AS17.2,17.2,735.3849363,AS1,D,TD,20180213,8.1,630,85092,F17,second,n,S,SD,TD,y,ok,SD_second,1,T5,F20,2.302859904,5.144834719,0,0.748318165,0,6.188664215,0.022768959,0,10.05586883,0,6,0,0,0,8,0,0,77
SD.AS5.1,5.1,607.3382539,1.1.275,S,S,20180110,3.93,518,13881,F5,first,n,D,SD,IS,y,ok,SD_first,-0.428571429,T2,F6,0,4.165871329,0,0,0,7.550952249,0,0,10.09008366,0,4,0,0,0,23,0,0,164
SD.AS5.2,5.2,735.6961688,1.1.55,D,TD,20180209,4.26,529,24055,F5,second,n,S,SD,TD,y,ok,SD_second,1,T2,F8,3.750298413,2.045506345,0,0,0,9.338401023,0,0,9.640903447,0,1,0,0,0,75,0,0,87
SD.AS9.1,9.1,267.7877819,B2.left,S,S,20171223,2.15,441,122838,F9,first,n,D,SD,IS,n,ok,SD_first,-1,T3,F10,1.616116652,4.520481867,0,0,0,8.522096026,0.903239364,0.650157816,11.14631028,1,6,0,0,0,44,1,0,229
SS.AS12.1,12.1,404.9410284,1-1-250,S,S,20171223,1.08,356,17479,F12,first,n,NA,SS,SS,n,ok,SS_first,-0.833333333,T3,F11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,62,0,0,81
SS.AS16.1,16.1,147.6714928,B2.right,S,S,20180101,3.28,520,7653,F16,first,n,D,SS,SS,y,ok,SS_first,-1,T4,F15,0,0,0,4.857484068,0,7.727343888,0,0,8.362386905,0,0,0,7,0,37,0,0,59
SS.AS16.2,16.2,239.7701238,B2.right,S,S,20180208,3.39,509,164878,F16,second,y,S,SS,SS,y,ok,SS_second,-1,T4,F13,4.805430767,2.498417644,3.891430463,0,4.179585672,12.87239425,4.50549964,3.826184737,12.04085108,0,0,1,0,3,243,0,1,156
SS.AS20.1,20.1,403.9415986,AS1,S,S,20180112,4.42,552,63516,F20,first,y,S,SS,SS,y,ok,SS_first,-1,T5,F19,5.712267169,4.494644858,6.751786704,10.55404641,6.109154632,12.46672643,3.774843277,3.774843277,9.610665875,2,0,10,80,4,310,1,0,43
SS.AS20.2,20.2,30.87017633,AS1,S,S,20180213,3.83,584,47434,F20,second,y,S,SS,SS,y,ok,SS_second,-1,T5,F17,3.376634596,6.134950609,2.430892767,0.46176065,2.885683729,11.22089299,3.068555493,1.761921207,11.06697222,1,4,1,0,0,196,0,0,160
SS.AS24.2,24.2,508.3405348,1.1.85,S,S,20180213,5.33,578,77576,F24,second,y,S,SS,SS,n,ok,SS_second,-0.666666667,T6,F21,0,1.946673669,0,0,0,5.091944469,0.310094675,0.310094675,8.9299277,0,0,0,0,0,4,0,0,25
SS.AS4.2,4.2,552.4872991,1.1.85,S,S,20180110,8.28,657,15985,F4,second,y,S,SS,SS,n,ok,SS_second,-1,T1,F1,7.245818967,0,2.49101421,11.05664494,6.973610118,15.86221612,4.005921003,4.987590147,7.143013426,7,0,0,106,8,2754,0,5,8
SS.AS8.1,8.1,496.2403977,1.1.55,S,S,20180110,2.73,482,119922,F8,first,y,S,SS,SS,y,ok,SS_first,-1,T2,F7,0,0.808586805,0,0,0,2.863981381,0,0,7.766658015,0,1,0,0,0,7,0,0,132
SS.AS8.2,8.2,640.7935593,1.1.55,S,S,20180209,3.14,473,137447,F8,second,y,S,SS,SS,y,ok,SS_second,-0.666666667,T2,F5,7.592401239,1.200438084,0,8.777962844,8.171581206,15.69481672,7.840595964,5.984865755,6.581160597,2,0,0,6,3,833,1,2,3
