OTU_ID	taxonomy
OTU_176	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Unassigned.Bacteroidaceae; s__Unassigned.Bacteroidaceae
OTU_260	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Unassigned.Clostridiales; g__Unassigned.Clostridiales; s__Unassigned.Clostridiales
OTU_5	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Unassigned.Bacteroidaceae; s__Unassigned.Bacteroidaceae
OTU_284	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Unassigned.Bacteroidaceae; s__Unassigned.Bacteroidaceae
OTU_8	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Paludibacter; s__Unassigned.Paludibacter
OTU_45	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Unassigned.Bacteroidaceae; s__Unassigned.Bacteroidaceae
OTU_258	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Unassigned.Bacteroidaceae; s__Unassigned.Bacteroidaceae
OTU_354	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Unassigned.Bacteroidaceae; s__Unassigned.Bacteroidaceae
OTU_31	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Unassigned.Bacteroidaceae; s__Unassigned.Bacteroidaceae
OTU_213	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__Unassigned.Flavobacterium
OTU_51	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__Unassigned.Flavobacterium
OTU_42	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Unassigned.Cytophagaceae; s__Unassigned.Cytophagaceae
OTU_47	k__Bacteria; p__TM7; c__SC3; o__Unassigned.SC3; f__Unassigned.SC3; g__Unassigned.SC3; s__Unassigned.SC3
OTU_96	k__Bacteria; p__TM7; c__TM7-3; o__Unassigned.TM7-3; f__Unassigned.TM7-3; g__Unassigned.TM7-3; s__Unassigned.TM7-3
OTU_37	k__Bacteria; p__TM7; c__TM7-1; o__Unassigned.TM7-1; f__Unassigned.TM7-1; g__Unassigned.TM7-1; s__Unassigned.TM7-1
OTU_55	k__Bacteria; p__TM7; c__TM7-1; o__Unassigned.TM7-1; f__Unassigned.TM7-1; g__Unassigned.TM7-1; s__Unassigned.TM7-1
OTU_67	k__Bacteria; p__TM7; c__TM7-1; o__Unassigned.TM7-1; f__Unassigned.TM7-1; g__Unassigned.TM7-1; s__Unassigned.TM7-1
OTU_13	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Unassigned.Neisseriaceae; s__Unassigned.Neisseriaceae
OTU_17	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Deefgea; s__Unassigned.Deefgea
OTU_356	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Unassigned.Neisseriaceae; s__Unassigned.Neisseriaceae
OTU_509	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Unassigned.Comamonadaceae; s__Unassigned.Comamonadaceae
OTU_516	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Unassigned.Comamonadaceae; s__Unassigned.Comamonadaceae
