OTUId	SD.AS1.2	DD.AS10.1	DD.AS10.2	DS.AS11.1	DS.AS11.2	SS.AS12.1	SD.AS13.1	SD.AS13.2	DD.AS14.2	DS.AS15.1	DS.AS15.2	SS.AS16.1	SS.AS16.2	SD.AS17.1	SD.AS17.2	DD.AS18.1	DD.AS18.2	DD.AS2.1	SS.AS20.1	SS.AS20.2	DD.AS22.1	DD.AS22.2	DS.AS23.1	DS.AS23.2	SS.AS24.2	DS.AS3.1	SS.AS4.2	SD.AS5.1	SD.AS5.2	DD.AS6.1	DD.AS6.2	DS.AS7.2	SS.AS8.1	SS.AS8.2	SD.AS9.1
OTU_1	11573	58146	339	22803	39453	12218	37707	14262	12373	23811	27939	6639	105933	37687	62915	55607	40521	16959	49655	27393	9912	28124	49174	20446	55716	3092	3670	8420	16993	30962	24207	2862	66003	46684	65449
OTU_2	132	5387	5	1140	4118	2225	12910	5355	5185	13	5829	56	2364	2033	5511	1194	8570	5703	421	3237	4947	648	622	950	16541	456	209	1055	3088	10802	8911	1623	22802	418	19266
OTU_3	14566	7	6	1	28	8	9	2	5	0	44	2	1	3	3	4	1	3	10	3	6	0	0	0	1	3	2	2	0	4	4	1	27	59327	12
OTU_4	7619	218	13	50782	587	281	84	8	10	1464	22	74	11429	6811	112	843	9	302	5114	2391	18	12	22	278	39	32	11412	96	347	58	11	9	146	27817	1238
OTU_5	94	775	7	14	11010	10	5658	1572	174	16	8975	81	20431	2316	5043	11705	13505	3759	2102	1361	844	581	21	286	11	29	5	1776	10	4701	2912	38	4	424	15270
OTU_6	17	124	3	86	1723	320	4824	2741	2283	214	3591	115	6422	634	1643	1021	2672	2039	706	2149	2534	2540	1382	1739	564	21	27	559	428	3843	4531	671	4615	50	7640
OTU_7	35	22	6	18	927	33	1673	329	1199	5	102	8	193	3861	1930	1649	155	129	460	2609	733	809	82	1430	39	3	7	180	32	1304	520	298	169	136	535
OTU_8	2	107	1	4	2328	1	595	14	1	0	288	16	8553	236	1555	1833	1679	316	1	362	117	38	0	1	0	5	0	351	1	597	41	1	0	18	1848
OTU_9	137	312	1	152	518	139	342	504	585	4	18	0	81	1024	530	133	45	23	1370	2708	767	57	25	928	1120	12	27	100	200	287	1056	205	272	626	148
OTU_10	4	256	2	199	238	196	631	256	512	0	69	7	264	848	721	290	827	930	56	1052	879	105	45	298	855	19	50	64	223	537	458	153	701	17	3149
OTU_11	3	1	9587	9	0	0	0	2	0	0	0	8	0	2	0	0	0	24	1	0	3	0	0	0	0	0	0	0	0	0	0	0	3	2	33
OTU_12	165	355	3	330	1575	212	1501	441	224	650	579	106	2618	908	1876	1818	1633	279	456	508	283	446	593	947	725	18	49	325	299	1263	713	56	1235	673	1039
OTU_13	13	242	0	11	110	45	267	101	116	192	272	22	252	71	627	236	313	105	21	412	144	538	284	65	355	5	2	24	77	280	193	22	1842	104	560
OTU_14	15	2250	0	77	6	523	50	10	29	0	43	1	111	1	7	0	1	200	0	40	178	9	13	0	121	121	9	2	605	38	37	16	614	47	906
OTU_15	9	66	0	5	1321	805	268	606	589	1	405	8	3960	277	285	35	1353	106	964	2180	1926	56	117	12	8	9	3	420	1108	249	1139	144	733	22	519
OTU_17	1	3	1	1	646	212	250	0	0	2	14	1	123	20	5	18	6	0	44	52	9	61	2011	1	6	1	0	63	325	171	1	0	594	1	1
OTU_18	1	0	0	0	44	3	242	60	68	12	136	8	99	6	14	168	426	0	0	2	12	282	115	1	247	1	0	4	6	174	111	8	1656	1	0
OTU_19	0	0	0	0	1	0	333	25	58	0	7	0	0	0	2	0	0	54	0	0	91	35	0	0	49	0	0	0	4	242	29	17	2447	1	63
OTU_21	52	0	0	2807	3	0	0	1	0	67	0	10	0	0	2	1	0	0	1358	1	0	0	1	0	0	0	408	0	0	0	0	0	0	230	0
OTU_22	4	3	0	3	8	7	346	21	112	12	12	2	6	0	18	0	6	106	0	0	28	264	19	0	46	0	0	1	4	288	20	34	1222	9	373
OTU_24	2	298	0	6	7	52	98	28	72	1	12	0	18	0	10	0	0	41	1	4	116	11	15	18	351	13	3	2	55	58	52	14	929	7	168
OTU_25	0	263	0	4	81	22	198	65	23	37	31	1	141	0	30	14	1	126	27	8	119	6	5	1	103	14	1	14	29	180	89	7	311	6	541
OTU_26	1	0	0	1	4	1	170	11	40	2	1	1	2	0	6	0	19	82	0	1	28	133	12	0	33	0	0	5	1	129	17	9	1135	6	336
OTU_27	0	0	0	0	4	9	12	12	21	1	0	1	0	19	390	14	5	1	11	163	75	338	8	15	1	0	1	0	10	3	17	5	172	0	2
OTU_28	0	0	1986	11	0	0	0	0	2	0	0	1	0	1	0	0	0	4	0	0	1	1	0	0	0	0	1	0	0	0	0	0	3	0	6
OTU_29	1	25	0	0	22	2	96	108	45	8	97	6	86	7	12	53	112	1	2	10	69	265	92	2	34	1	0	6	5	70	119	8	438	11	3
OTU_30	0	0	2	0	0	4	45	4	9	53	3	3	2	0	0	0	12	7	0	0	6	9	4	0	6	1	0	0	5	27	19	0	737	1	38
OTU_31	3	77	1	1	960	0	170	203	21	0	594	8	553	362	337	1006	789	196	241	196	52	92	2	45	4	3	2	172	1	150	365	7	0	18	868
OTU_32	1	0	0	0	0	0	13	2	3	1	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	23	2	4	846	1	2
OTU_33	1	0	0	0	0	2	61	25	23	112	41	5	1	0	1	4	20	11	1	0	2	7	2	0	9	0	0	2	4	72	40	4	504	0	55
OTU_34	0	0	0	0	1	1	94	20	22	792	38	21	2	4	2	8	76	23	0	1	6	5	2	0	20	0	0	1	0	65	43	3	309	0	110
OTU_35	1	6	0	2	4	3	63	16	36	17	13	3	0	0	8	6	55	19	1	0	3	244	1	0	20	0	1	0	5	53	28	6	263	2	85
OTU_37	0	0	0	2	6	2	53	1	4	0	0	0	0	0	8	0	2	3	0	0	1	30	3	0	9	0	1	0	3	51	1	0	272	0	14
OTU_38	0	0	0	0	0	0	0	0	0	453	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU_39	0	1	0	0	6	3	146	58	63	84	33	5	0	0	1	4	31	38	0	0	3	9	4	0	12	0	0	2	3	120	73	10	672	0	110
OTU_40	0	1	0	0	1	0	47	14	19	4	44	1	0	0	4	0	2	4	0	2	7	9	1	0	9	0	0	2	3	43	25	4	223	0	8
OTU_41	1	0	1	0	4	2	20	1	8	4	5	1	0	0	34	0	9	13	0	0	8	7	0	0	11	0	0	2	6	22	8	1	412	2	83
OTU_42	0	0	0	0	2	0	56	0	2	2	0	1	0	0	0	3	0	0	0	0	0	0	4	0	8	0	0	0	2	40	0	1	275	1	0
OTU_43	0	0	440	1	0	0	0	0	0	0	0	4	0	0	0	0	0	10	2	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	15
OTU_44	1	0	0	0	9	2	75	2	14	34	3	3	1	0	20	0	31	22	0	0	3	6	0	0	5	0	0	3	2	63	14	1	371	0	66
OTU_45	0	11	0	0	351	0	55	6	0	1	103	3	472	69	188	517	235	52	0	19	7	1	0	0	0	0	0	61	0	60	20	0	0	3	239
OTU_46	0	2	1	0	1	0	18	0	3	150	4	15	0	0	6	0	3	3	0	1	7	11	1	0	3	0	0	0	0	15	5	0	93	0	9
OTU_47	0	0	0	0	2	1	2	1	4	0	0	0	1	0	11	0	0	1	0	0	0	6	0	0	3	0	0	0	1	7	5	1	259	0	0
OTU_48	1	0	0	0	0	0	15	1	7	0	0	2	0	0	1	2	4	5	1	0	5	10	1	0	21	0	0	0	1	17	10	2	78	1	17
OTU_49	1	4	4	1	1	1	28	1	2	47	1	3	3	0	3	0	2	3	0	0	0	55	0	0	0	0	0	0	1	12	0	0	41	1	43
OTU_50	0	0	0	0	0	0	21	3	9	0	1	0	0	0	0	0	0	1	0	0	9	3	0	0	1	0	0	0	0	27	4	0	279	0	7
OTU_51	0	0	0	1	0	1	0	0	0	306	0	0	0	0	2	0	0	0	3	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0
OTU_52	0	3	0	0	0	0	0	1	0	1	0	173	0	0	0	0	3	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
OTU_53	0	0	0	0	0	0	7	1	3	2	2	6	0	0	0	0	1	0	0	1	14	4	0	0	1	0	0	2	1	12	0	1	61	0	1
OTU_54	0	1	0	0	2	1	23	1	4	0	1	1	0	0	1	0	1	1	0	0	3	13	0	0	10	0	0	2	1	33	3	2	127	0	39
OTU_55	0	0	0	1	0	0	7	0	2	0	0	0	0	0	1	0	0	1	0	0	5	45	6	0	9	0	0	0	0	8	0	1	139	1	2
OTU_56	0	1	0	0	0	4	0	0	0	122	1	1	0	0	0	0	1	0	0	0	1	51	1	0	1	0	0	0	1	0	0	0	13	0	0
OTU_57	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	2	0	0	17	2	0	0	0	0	0	1	2	6	0	1	135	1	0
OTU_58	0	0	0	0	0	0	16	3	5	0	0	0	0	0	0	0	0	6	0	0	3	1	1	0	2	0	0	0	1	32	2	1	129	0	2
OTU_59	0	0	0	0	0	0	1	2	2	0	0	0	0	0	10	0	3	12	0	0	1	113	2	2	37	0	0	0	0	4	4	0	12	0	32
OTU_60	0	0	0	0	0	0	16	4	12	0	3	0	0	0	0	0	0	9	0	0	2	2	1	0	10	0	0	0	4	9	6	5	147	2	22
OTU_61	0	0	0	0	0	0	31	3	4	0	0	0	0	0	0	0	1	4	0	1	1	3	0	0	1	0	0	0	0	30	5	1	17	0	14
OTU_62	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	12	1	1	163	0	1
OTU_63	0	0	0	0	0	0	6	3	0	0	1	0	0	0	1	0	0	0	1	0	2	2	0	0	0	0	0	0	0	23	3	0	230	1	0
OTU_64	0	1	0	0	3	0	9	22	22	0	7	0	0	0	5	4	57	0	1	0	1	0	0	0	0	0	0	3	0	1	30	4	2	0	0
OTU_65	0	0	0	0	2	0	40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	36	2	0	0	0	0
OTU_66	0	1	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	8	0	0	0	1	5	1	0	112	0	0
OTU_67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	1	11
OTU_68	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	1	2	209	0	0
OTU_70	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	3
OTU_71	0	0	0	0	0	1	10	1	5	2	0	7	0	0	2	2	11	0	0	1	3	25	0	0	3	0	0	0	0	6	1	3	39	0	5
OTU_72	0	0	0	1	0	0	9	1	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	1	0	1	1	0	6	1	0	202	2	2
OTU_76	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_77	0	0	0	0	1	0	13	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	19	0	0	50	0	2
OTU_79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0
OTU_80	0	1	0	0	8	3	66	60	28	0	72	0	5	5	13	5	20	41	2	8	30	5	2	1	7	0	0	1	5	76	63	2	69	0	95
OTU_81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	64	0	0
OTU_82	0	0	0	0	6	0	79	9	12	73	1	3	0	0	1	0	7	13	0	0	3	2	2	0	2	0	0	1	3	51	10	4	379	0	45
OTU_83	0	0	0	0	0	0	8	2	5	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	11	2	1	144	0	1
OTU_84	0	0	0	0	1	0	12	0	2	0	1	0	0	0	1	0	2	5	0	0	1	3	2	0	8	0	0	0	1	14	1	1	134	0	8
OTU_85	0	0	0	0	1	0	11	4	1	0	0	0	0	0	1	2	6	1	0	0	0	7	0	0	5	0	0	0	0	1	4	0	20	0	5
OTU_86	0	0	0	0	0	0	3	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	42	1	0
OTU_87	0	0	0	0	0	0	6	0	0	6	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	4	0	0	79	0	0
OTU_88	0	0	0	0	28	0	17	19	29	1	6	1	0	0	2	1	1	0	1	0	2	0	0	0	0	0	0	2	0	14	35	13	0	0	0
OTU_89	0	0	0	0	0	0	0	0	0	7	1	0	0	0	1	0	3	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	80	1	0
OTU_90	0	0	0	0	0	0	3	0	0	48	2	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	4	0	0	47	0	1
OTU_91	0	0	0	0	0	0	9	0	2	9	2	0	4	0	8	0	0	4	1	0	1	2	0	0	0	0	0	0	0	6	1	1	82	0	26
OTU_93	0	0	0	0	0	0	1	1	1	0	0	0	0	0	31	4	8	2	0	1	0	3	0	0	11	0	0	0	1	2	0	0	19	0	2
OTU_94	0	0	0	0	0	0	14	2	3	1	0	5	1	0	0	0	0	4	0	0	0	7	0	0	1	0	0	0	0	10	1	0	59	0	14
OTU_96	0	0	0	0	1	0	10	0	1	0	0	0	0	0	1	0	0	0	0	0	2	4	0	0	3	0	0	1	0	5	0	0	33	0	1
OTU_97	0	0	0	0	1	0	2	0	0	4	1	2	1	0	19	0	14	7	1	1	4	0	1	0	4	0	0	0	0	3	3	2	122	0	19
OTU_98	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	102	0	1
OTU_99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	3	1	0	18	0	2
OTU_103	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	1	8	0	3	89	0	1
OTU_104	0	0	0	0	1	0	31	2	6	6	2	0	0	0	0	0	2	1	0	1	8	2	0	0	4	0	1	0	0	33	1	1	119	1	1
OTU_106	0	0	0	0	0	0	4	6	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	86	0	0
OTU_107	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	3	0	0	39	1	3
OTU_109	0	0	0	0	0	1	14	4	6	2	1	1	0	0	1	0	0	5	0	0	1	7	0	0	1	0	0	1	0	18	5	2	90	0	10
OTU_115	0	0	0	0	1	0	2	0	1	2	0	105	0	0	0	1	6	0	0	0	0	0	6	2	1	0	0	0	0	0	0	0	1	0	0
OTU_116	0	0	0	0	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	49	0	0
OTU_117	0	0	0	0	0	0	12	1	3	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	15	3	2	57	1	1
OTU_125	27	0	0	149	11	2	4	3	2	10	2	0	42	22	7	10	3	5	47	10	3	1	0	0	0	0	29	0	7	6	4	1	3	101	9
OTU_131	0	0	0	0	1	0	10	0	1	3	0	0	0	0	1	0	56	3	0	0	2	1	0	0	2	0	0	0	0	9	0	2	55	0	5
OTU_134	0	16	0	0	5	5	29	14	11	0	4	0	2	2	10	0	11	1	1	4	6	2	0	4	27	2	1	0	3	16	16	2	94	1	16
OTU_135	13	18	1	11	106	24	447	219	157	0	274	5	60	51	174	33	128	127	9	56	111	34	20	35	73	0	2	37	25	384	310	44	326	50	336
OTU_143	0	2	0	0	39	2	112	52	74	1	30	0	8	45	54	32	18	22	20	70	59	38	3	64	4	0	0	9	2	107	70	11	29	1	76
OTU_146	0	0	0	3	13	1	40	16	23	0	11	0	9	79	82	76	16	6	16	30	12	20	8	22	2	0	2	4	1	49	11	7	6	2	17
OTU_149	0	1	0	0	7	5	10	25	10	0	0	0	4	9	11	3	0	1	7	11	14	2	0	9	6	0	0	3	4	5	40	2	2	1	4
OTU_152	0	0	0	0	0	0	4	0	1	4	0	1	0	0	1	0	1	1	0	0	0	3	0	0	1	0	0	0	0	6	0	0	32	0	9
OTU_153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
OTU_155	0	0	0	2	4	0	0	0	0	0	0	0	22	1	0	0	0	0	97	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
