OTUId	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	somerae
OTU_2	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Unassigned_Clostridiaceae	Unassigned_Clostridiaceae
OTU_3	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Unassigned_Clostridium
OTU_4	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unassigned_Enterobacteriaceae	Unassigned_Enterobacteriaceae
OTU_5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Unassigned_Bacteroidaceae	Unassigned_Bacteroidaceae
OTU_6	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Unassigned_Clostridiaceae	Unassigned_Clostridiaceae
OTU_7	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Unassigned_Clostridium
OTU_8	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Paludibacter	Unassigned_Paludibacter
OTU_9	Bacteria	Firmicutes	Bacilli	Turicibacterales	Turicibacteraceae	Turicibacter	Unassigned_Turicibacter
OTU_10	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Unassigned_Peptostreptococcaceae	Unassigned_Peptostreptococcaceae
OTU_11	Bacteria	Cyanobacteria	Chloroplast	Streptophyta	Unassigned_Streptophyta	Unassigned_Streptophyta	Unassigned_Streptophyta
OTU_12	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Unassigned_Fusobacterium
OTU_13	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Unassigned_Neisseriaceae	Unassigned_Neisseriaceae
OTU_14	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned_Bacillus
OTU_15	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Unassigned_Shewanella
OTU_17	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Deefgea	Unassigned_Deefgea
OTU_18	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned_Comamonadaceae	Unassigned_Comamonadaceae
OTU_19	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	Unassigned_A4b	Unassigned_A4b
OTU_21	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Unassigned_Aeromonadaceae	Unassigned_Aeromonadaceae
OTU_22	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Unassigned_Rhodobacter
OTU_24	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned_Bacillus
OTU_25	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned_Bacillus
OTU_26	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned_Rhizobiales	Unassigned_Rhizobiales	Unassigned_Rhizobiales
OTU_27	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Unassigned_Alcaligenaceae	Unassigned_Alcaligenaceae
OTU_28	Bacteria	Cyanobacteria	Chloroplast	Streptophyta	Unassigned_Streptophyta	Unassigned_Streptophyta	Unassigned_Streptophyta
OTU_29	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Unassigned_Alcaligenaceae	Unassigned_Alcaligenaceae
OTU_30	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned_Bacillus
OTU_31	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Unassigned_Bacteroidaceae	Unassigned_Bacteroidaceae
OTU_32	Bacteria	Chloroflexi	Anaerolineae	A31	S47	Unassigned_S47	Unassigned_S47
OTU_33	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unassigned_Paenibacillus
OTU_34	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unassigned_Paenibacillus
OTU_35	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Unassigned_Rhodobacter
OTU_37	Bacteria	TM7	TM7-1	Unassigned_TM7-1	Unassigned_TM7-1	Unassigned_TM7-1	Unassigned_TM7-1
OTU_38	Bacteria	Chloroflexi	Unassigned_Chloroflexi	Herpetosiphonales	Unassigned_Herpetosiphonales	Unassigned_Herpetosiphonales	Unassigned_Herpetosiphonales
OTU_39	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Unassigned_Paenibacillus
OTU_40	Bacteria	Actinobacteria	Unassigned_Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	Unassigned_Mycobacterium
OTU_41	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Unassigned_Bacillaceae	Unassigned_Bacillaceae
OTU_42	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Unassigned_Cytophagaceae	Unassigned_Cytophagaceae
OTU_43	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	mitochondria	Unassigned_mitochondria	Unassigned_mitochondria
OTU_44	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unassigned_Bacillus
OTU_45	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Unassigned_Bacteroidaceae	Unassigned_Bacteroidaceae
OTU_46	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Unassigned_Comamonas
OTU_47	Bacteria	TM7	SC3	Unassigned_SC3	Unassigned_SC3	Unassigned_SC3	Unassigned_SC3
OTU_48	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Unassigned_Hyphomicrobiaceae	Unassigned_Hyphomicrobiaceae
OTU_49	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Unassigned_Agrobacterium
OTU_50	Bacteria	Actinobacteria	Unassigned_Actinobacteria	Actinomycetales	Unassigned_Actinomycetales	Unassigned_Actinomycetales	Unassigned_Actinomycetales
OTU_51	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unassigned_Flavobacterium
OTU_52	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Unassigned_Syntrophobacteraceae	Unassigned_Syntrophobacteraceae
OTU_53	Bacteria	Actinobacteria	Unassigned_Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	Unassigned_Mycobacterium
OTU_54	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Unassigned_Rhodobacter
OTU_55	Bacteria	TM7	TM7-1	Unassigned_TM7-1	Unassigned_TM7-1	Unassigned_TM7-1	Unassigned_TM7-1
OTU_56	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Parachlamydiaceae	Parachlamydia	Unassigned_Parachlamydia
OTU_57	Bacteria	Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae	Unassigned_Gemmataceae	Unassigned_Gemmataceae
OTU_58	Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Unassigned_Pirellulaceae	Unassigned_Pirellulaceae
OTU_59	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Unassigned_Clostridiaceae	Unassigned_Clostridiaceae
OTU_60	Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	A17	Unassigned_A17
