simpleUniqueID	tank	type	subtype	Date	weight	length	count	fish	timepoint	prev_type	group	subtype	pair	outlier	group_timepoint	bc_linear	bc_power	behavior_scores	otu4_ilr	testosterone	deseq_norm_floor_otu4	deseq_norm_otu4	rarified_otu4	filter	OTU_6	testosterone_nc
SD.AS1.2	1/1/85	D	TD	20180110	11.26	714	34660	F1	second	S	SD	TD	n	ok	SD_second	-0.6348	-3.214815476	1	6.891416319	57.27726489	10.45341098	10.45341098	889	y	1.950983713	-12.67
DD.AS10.1	B2.left	D	D	20171223	4.87	550	69141	F10	first	D	DD	SD	y	bad	DD_first	0.212	-1.306720863	1	2.898126143	269.1792464	NA	NA	8	n	NA	75.91
DD.AS10.2	B2.left	D	D	20180202	4.7	554	12800	F10	second	D	DD	SD	y	bad	DD_second	0.5172	-1.055223328	1	0.140290232	109.815274	NA	NA	4	n	NA	36.09
DS.AS11.1	1.1.250	D	D	20171223	1.97	412	78853	F11	first	S	DS	ID	y	ok	DS_first	-1.5524	-0.523528963	1	8.012985518	122.7834195	12.07865401	12.07865401	2466	y	2.879143673	144.50
DS.AS11.2	B2.left	S	TS	20180202	2.26	431	66844	F11	second	D	DS	TS	y	ok	DS_second	-1.2002	-0.595003914	0.333333333	3.424934784	217.2313465	4.281399632	4.281399632	35	y	6.26603037	-11.66
SS.AS12.1	1.1.250	S	S	20171223	1.08	356	17479	F12	first	NA	SS	SS	n	ok	SS_first	-2.5552	-0.163125259	-0.833333333	NA	179.1774462	NA	NA	46	n	NA	-6.08
SD.AS13.1	1.1.145	S	S	20180101	4.73	572	71341	F13	first	D	SD	IS	y	ok	SD_first	1.0956	-0.702775994	-1	0.948360763	141.1397632	0.719125537	0.719125537	6	y	7.319183861	168.16
SD.AS13.2	B2.right	D	TD	20180208	6	586	27810	F13	second	S	SD	TD	y	ok	SD_second	0.2988	-1.65711739	1	-0.74107069	103.5067153	0.633312426	0.633312426	2	y	7.749232462	90.84
DD.AS14.2	1.1.145	D	D	20180208	5.38	564	24775	F14	second	D	DD	SD	n	ok	DD_second	0.1752	-1.525955722	1	0.355922339	123.030218	0.562150984	0.562150984	3	y	7.477666387	146.72
DS.AS15.1	B2.right	D	D	20180101	3.48	492	29150	F15	first	S	DS	ID	y	ok	DS_first	-0.3584	-0.963392444	1	5.170161166	99.44486741	6.849763558	6.849763558	180	y	3.888172111	-123.09
DS.AS15.2	1.1.145	S	TS	20180208	3.28	531	50266	F15	second	D	DS	TS	y	ok	DS_second	1.1598	-0.086973875	-0.666666667	0.5635392	150.0218951	0.387208606	0.387208606	1	y	7.859196525	27.76
SS.AS16.1	B2.right	S	S	20180101	3.28	520	7653	F16	first	D	SS	SS	y	ok	SS_first	0.788	-0.288895168	-1	3.661450301	45.02179658	5.335703569	5.335703569	40	y	5.877215718	-316.64
SS.AS16.2	B2.right	S	S	20180208	3.39	509	164878	F16	second	S	SS	SS	y	ok	SS_second	0.3062	-0.591958295	-1	5.499993821	70.72865008	8.269886826	8.269886826	257	y	7.395764764	-227.21
SD.AS17.1	1/1/25	S	S	20180112	6.7	628	58045	F17	first	S	SD	IS	y	ok	SD_first	1.0184	-1.309951659	-1	6.10221791	44.6736295	8.20667676	8.20667676	456	y	4.700295994	-247.84
SD.AS17.2	AS1	D	TD	20180213	8.1	630	85092	F17	second	S	SD	TD	y	ok	SD_second	-0.314	-2.656201361	1	1.475592848	76.76251945	1.838133162	1.838133162	4	y	5.894976015	154.32
DD.AS18.1	1/1/25	D	D	20180112	17.78	814	79146	F18	first	S	DD	SD	y	ok	DD_first	-3.7748	-5.668844497	1	3.708794266	NA	4.89701327	4.89701327	41	n	5.004769439	NA
DD.AS18.2	1/1/25	D	D	20180213	15.89	797	74009	F18	second	D	DD	SD	y	ok	DD_second	-2.4594	-4.550837384	0.571428571	-0.149214167	NA	0.403700651	0.403700651	0	n	6.912733277	NA
DD.AS2.1	source.1R	D	D	20171219	14.59	814	32334	F2	first	D	DD	SD	n	ok	DD_first	-0.5848	-2.478844497	0.333333333	3.451106042	53.20873287	4.829727826	4.829727826	41	y	7.372053017	38.04
SS.AS20.1	AS1	S	S	20180112	4.42	552	63516	F20	first	S	SS	SS	y	ok	SS_first	0.7296	-0.816128645	-1	5.865238438	105.4677803	7.748105754	7.748105754	313	y	5.040614089	-87.98
SS.AS20.2	AS1	S	S	20180213	3.83	584	47434	F20	second	S	SS	SS	y	ok	SS_second	2.4012	0.466794386	-1	5.068901637	3.834804514	6.536240566	6.536240566	205	y	6.552358737	-446.76
DD.AS22.1	source.1R	D	D	20180202	14.37	784	24555	F22	first	D	DD	SD	y	ok	DD_first	-1.3788	-3.59810437	0.948717949	1.482525189	50.668341	2.4539322	2.4539322	1	y	8.687367846	-7.37
DD.AS22.2	source.1R	D	D	20180213	14.32	878	36594	F22	second	D	DD	SD	y	ok	DD_second	1.8484	1.017809372	0.666666667	-0.711125762	96.01839293	1.699027942	1.699027942	2	y	7.926095347	-11.60
DS.AS23.1	1/1/85	D	D	20180202	7.5	635	54847	F23	first	S	DS	ID	y	ok	DS_first	0.455	-1.920234279	0.666666667	0.12701248	86.18648245	1.619430509	1.619430509	5	y	7.036666997	18.67
DS.AS23.2	source.1R	S	TS	20180213	6.79	632	27841	F23	second	D	DS	TS	y	ok	DS_second	1.0636	-1.292087975	-1	3.718944118	75.64403325	4.648336752	4.648336752	39	y	7.552420703	-108.33
SS.AS24.2	1/1/85	S	S	20180213	5.33	578	77576	F24	second	S	SS	SS	n	ok	SS_second	0.6984	-1.169474335	-0.666666667	-0.420858961	95.37345869	1.812051379	1.812051379	2	y	4.884067182	-5.63
DS.AS3.1	1/1/85	D	D	20171219	11.98	729	3879	F3	first	S	DS	ID	n	ok	DS_first	-0.8478	-3.395523865	0.955555556	3.494799143	61.50225697	5.293757502	5.293757502	32	y	4.696192732	61.75
SS.AS4.2	1/1/85	S	S	20180110	8.28	657	15985	F4	second	S	SS	SS	n	ok	SS_second	0.4186	-2.07450759	-1	8.095050358	66.72551922	12.03962927	12.03962927	2731	y	3.0488236	-318.1344808
SD.AS5.1	1.1.275	S	S	20180110	3.93	518	13881	F5	first	D	SD	IS	y	ok	SD_first	0.0704	-0.974650274	-0.428571429	3.324505672	154.5389959	4.723359163	4.723359163	27	y	6.751933205	127.28
SD.AS5.2	1/1/55	D	TD	20180209	4.26	529	24055	F5	second	S	SD	TD	y	ok	SD_second	0.1122	-1.10435518	1	3.725148658	172.6986312	5.946025364	5.946025364	57	y	6.331661949	247.65
DD.AS6.1	1.1.275	D	D	20180110	8.4	701	59010	F6	first	S	DD	SD	y	ok	DD_first	1.7858	-0.803173311	1	1.33253576	86.60730054	1.092799384	1.092799384	2	y	7.018518221	139.17
DD.AS6.2	1.1.275	D	D	20180209	8.99	687	47053	F6	second	D	DD	SD	y	ok	DD_second	0.7226	-1.856693428	1	0.84813882	78.70815571	0.243504843	0.243504843	2	y	8.020696368	188.05
DS.AS7.2	1.1.275	S	TS	20180209	5.56	590	6449	F7	second	D	DS	TS	n	ok	DS_second	0.874	-1.12393529	-1	1.27056235	NA	2.180238459	2.180238459	3	n	7.884768001	NA
SS.AS8.1	1/1/55	S	S	20180110	2.73	482	119922	F8	first	S	SS	SS	y	ok	SS_first	0.0536	-0.369603879	-1	1.349759044	89.25187008	0.591240444	0.591240444	2	y	6.270022371	45.25
SS.AS8.2	1/1/55	S	S	20180209	3.14	473	137447	F8	second	S	SS	SS	y	ok	SS_second	-0.6606	-0.914440744	-0.666666667	6.797324297	234.7229155	10.57243466	10.57243466	753	y	2.053723877	179.87
SD.AS9.1	B2.left	S	S	20171223	2.15	441	122838	F9	first	D	SD	IS	n	ok	SD_first	-0.7522	-0.361456505	-1	3.529398712	85.28273308	5.229958728	5.229958728	44	y	7.933874965	-169.15
