SampleID	tank	type	subtype	Date	weight	length	count	fish	timepoint	prev_type	group	subtype	pair	outlier	group_timepoint	bc_linear	bc_power	behavior_scores	otu4_ilr	testosterone	deseq_norm_floor_otu4	deseq_norm_otu4	rarified_otu4	deseq_norm_otu6	name_prev_type		testosterone_nc	OTU_125	OTU_438	OTU_376	OTU_474	OTU_155	OTU_190	OTU_322	OTU_80	OTU_190_nf	OTU_6_nf	OTU_322_nf	OTU_80_nf	OTU_125_nf	OTU_474_nf	OTU_155_nf	OTU_438_nf	OTU_376_nf
SD.AS1.2	1/1/85	D	TD	20180110	11.26	714	34660	F1	second	S	SD	TD	n	ok	SD_second	-0.6348	-3.214815476	1	6.891416319	57.27726489	10.45341098	10.45341098	889	1.950983713	S.AS1	SD.AS1.2	-12.67	2.472092542	3.154842561	3.403842909	0	0	0	0	0	-1.911785932	1.950983713	-1.911785932	-1.911785932	2.472092542	-1.911785932	-1.911785932	3.154842561	3.403842909
DS.AS11.1	1.1.250	D	D	20171223	1.97	412	78853	F11	first	S	DS	ID	y	ok	DS_first	-1.5524	-0.523528963	1	8.012985518	122.7834195	12.07865401	12.07865401	2466	2.879143673	S.AS11	DS.AS11.1	144.5	3.180743933	1.142965599	3.429988566	0	0	0	0	0	-1.911785932	2.879143673	-1.911785932	-1.911785932	3.180743933	-1.911785932	-1.911785932	1.142965599	3.429988566
DS.AS11.2	B2.left	S	TS	20180202	2.26	431	66844	F11	second	D	DS	TS	y	ok	DS_second	-1.2002	-0.595003914	0.333333333	3.424934784	217.2313465	4.281399632	4.281399632	35	6.26603037	D.AS11	DS.AS11.2	-11.66	0.299675438	0.299675438	0	0	0.299675438	0.299675438	0	0	0.299675438	6.26603037	-1.911785932	-1.911785932	0.299675438	-1.911785932	0.299675438	0.299675438	-1.911785932
SD.AS13.1	1.1.145	S	S	20180101	4.73	572	71341	F13	first	D	SD	IS	y	ok	SD_first	1.0956	-0.702775994	-1	0.948360763	141.1397632	0.719125537	0.719125537	6	7.319183861	D.AS13	SD.AS13.1	168.16	0	0	0	0	0	0	1.161105319	1.496523787	-1.911785932	7.319183861	1.161105319	1.496523787	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932
SD.AS13.2	B2.right	D	TD	20180208	6	586	27810	F13	second	S	SD	TD	y	ok	SD_second	0.2988	-1.65711739	1	-0.74107069	103.5067153	0.633312426	0.633312426	2	7.749232462	S.AS13	SD.AS13.2	90.84	0	0	0	0	0	0.633312426	1.397793559	2.085029045	0.633312426	7.749232462	1.397793559	2.085029045	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932
DD.AS14.2	1.1.145	D	D	20180208	5.38	564	24775	F14	second	D	DD	SD	n	ok	DD_second	0.1752	-1.525955722	1	0.355922339	123.030218	0.562150984	0.562150984	3	7.477666387	D.AS14	DD.AS14.2	146.72	0	0	0	0	0	0.562150984	1.995863082	1.31539539	0.562150984	7.477666387	1.995863082	1.31539539	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932
DS.AS15.1	B2.right	D	D	20180101	3.48	492	29150	F15	first	S	DS	ID	y	ok	DS_first	-0.3584	-0.963392444	1	5.170161166	99.44486741	6.849763558	6.849763558	180	3.888172111	S.AS15	DS.AS15.1	-123.09	0.705404473	0	0.04885487	0.04885487	0	0	0	0	-1.911785932	3.888172111	-1.911785932	-1.911785932	0.705404473	0.04885487	-1.911785932	-1.911785932	0.04885487
DS.AS15.2	1.1.145	S	TS	20180208	3.28	531	50266	F15	second	D	DS	TS	y	ok	DS_second	1.1598	-0.086973875	-0.666666667	0.5635392	150.0218951	0.387208606	0.387208606	1	7.859196525	D.AS15	DS.AS15.2	27.76	0	0	0	0	0	0	2.662829897	2.222831375	-1.911785932	7.859196525	2.662829897	2.222831375	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932
SS.AS16.1	B2.right	S	S	20180101	3.28	520	7653	F16	first	D	SS	SS	y	ok	SS_first	0.788	-0.288895168	-1	3.661450301	45.02179658	5.335703569	5.335703569	40	5.877215718	D.AS16	SS.AS16.1	-316.64	0	0	0	0	0	0	0	0	-1.911785932	5.877215718	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932
SS.AS16.2	B2.right	S	S	20180208	3.39	509	164878	F16	second	S	SS	SS	y	ok	SS_second	0.3062	-0.591958295	-1	5.499993821	70.72865008	8.269886826	8.269886826	257	7.395764764	S.AS16	SS.AS16.2	-227.21	0.670443401	0	0	0.670443401	0	0	0.670443401	0.670443401	-1.911785932	7.395764764	0.670443401	0.670443401	0.670443401	0.670443401	-1.911785932	-1.911785932	-1.911785932
SD.AS17.1	1/1/25	S	S	20180112	6.7	628	58045	F17	first	S	SD	IS	y	ok	SD_first	1.0184	-1.309951659	-1	6.10221791	44.6736295	8.20667676	8.20667676	456	4.700295994	S.AS17	SD.AS17.1	-247.84	0.874565943	0.874565943	0.18876178	0.874565943	0	0	0	0	-1.911785932	4.700295994	-1.911785932	-1.911785932	0.874565943	0.874565943	-1.911785932	0.874565943	0.18876178
SD.AS17.2	AS1	D	TD	20180213	8.1	630	85092	F17	second	S	SD	TD	y	ok	SD_second	-0.314	-2.656201361	1	1.475592848	76.76251945	1.838133162	1.838133162	4	5.894976015	S.AS17	SD.AS17.2	154.32	0	0	0	0	0	0	0	0	-1.911785932	5.894976015	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932
DD.AS2.1	source.1R	D	D	20171219	14.59	814	32334	F2	first	D	DD	SD	n	ok	DD_first	-0.5848	-2.478844497	0.333333333	3.451106042	53.20873287	4.829727826	4.829727826	41	7.372053017	D.AS2	DD.AS2.1	38.04	0	0	0	0.32224268	0	0.32224268	1.03386797	2.134757275	0.32224268	7.372053017	1.03386797	2.134757275	-1.911785932	0.32224268	-1.911785932	-1.911785932	-1.911785932
SS.AS20.1	AS1	S	S	20180112	4.42	552	63516	F20	first	S	SS	SS	y	ok	SS_first	0.7296	-0.816128645	-1	5.865238438	105.4677803	7.748105754	7.748105754	313	5.040614089	S.AS20	SS.AS20.1	-87.98	1.413574999	0.951821404	2.273462337	0.253286956	0.951821404	0	0	0	-1.911785932	5.040614089	-1.911785932	-1.911785932	1.413574999	0.253286956	0.951821404	0.951821404	2.273462337
SS.AS20.2	AS1	S	S	20180213	3.83	584	47434	F20	second	S	SS	SS	y	ok	SS_second	2.4012	0.466794386	-1	5.068901637	3.834804514	6.536240566	6.536240566	205	6.552358737	S.AS20	SS.AS20.2	-446.76	0	0	0	0	0	0	0	0	-1.911785932	6.552358737	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-0.027846553
DD.AS22.1	source.1R	D	D	20180202	14.37	784	24555	F22	first	D	DD	SD	y	ok	DD_first	-1.3788	-3.59810437	0.948717949	1.482525189	50.668341	2.4539322	2.4539322	1	8.687367846	D.AS22	DD.AS22.1	-7.37	0	0	0	0	0	1.314583945	2.694466102	1.802208817	1.314583945	8.687367846	2.694466102	1.802208817	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932
DD.AS22.2	source.1R	D	D	20180213	14.32	878	36594	F22	second	D	DD	SD	y	ok	DD_second	1.8484	1.017809372	0.666666667	-0.711125762	96.01839293	1.699027942	1.699027942	2	7.926095347	D.AS22	DD.AS22.2	-11.6	0	0	0	0	0	0	0.478380593	0	-1.911785932	7.926095347	0.478380593	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932
DS.AS23.1	1/1/85	D	D	20180202	7.5	635	54847	F23	first	S	DS	ID	y	ok	DS_first	0.455	-1.920234279	0.666666667	0.12701248	86.18648245	1.619430509	1.619430509	5	7.036666997	S.AS23	DS.AS23.1	18.67	0	0	0	0	0	0	0	0	-1.911785932	7.036666997	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932
DS.AS23.2	source.1R	S	TS	20180213	6.79	632	27841	F23	second	D	DS	TS	y	ok	DS_second	1.0636	-1.292087975	-1	3.718944118	75.64403325	4.648336752	4.648336752	39	7.552420703	D.AS23	DS.AS23.2	-108.33	0	0	0	0.312441791	0	0	0.312441791	0	-1.911785932	7.552420703	0.312441791	-1.911785932	-1.911785932	0.312441791	-1.911785932	-1.911785932	-1.911785932
SS.AS24.2	1/1/85	S	S	20180213	5.33	578	77576	F24	second	S	SS	SS	n	ok	SS_second	0.6984	-1.169474335	-0.666666667	-0.420858961	95.37345869	1.812051379	1.812051379	2	4.884067182	S.AS24	SS.AS24.2	-5.63	0	0	0	0	0	0	0.569423047	0	-1.911785932	4.884067182	0.569423047	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932
DS.AS3.1	1/1/85	D	D	20171219	11.98	729	3879	F3	first	S	DS	ID	n	ok	DS_first	-0.8478	-3.395523865	0.955555556	3.494799143	61.50225697	5.293757502	5.293757502	32	4.696192732	S.AS3	DS.AS3.1	61.75	0	0	0	0	0	0	0	0	-1.911785932	4.696192732	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932
SS.AS4.2	1/1/85	S	S	20180110	8.28	657	15985	F4	second	S	SS	SS	n	ok	SS_second	0.4186	-2.07450759	-1	8.095050358	66.72551922	12.03962927	12.03962927	2731	3.0488236	S.AS4	SS.AS4.2	-318.1344808	3.692635575	0	2.74908851	2.369966003	0	0	0	0	-1.911785932	3.0488236	-1.911785932	-1.911785932	3.692635575	2.369966003	-1.911785932	-1.911785932	2.74908851
SD.AS5.1	1.1.275	S	S	20180110	3.93	518	13881	F5	first	D	SD	IS	y	ok	SD_first	0.0704	-0.974650274	-0.428571429	3.324505672	154.5389959	4.723359163	4.723359163	27	6.751933205	D.AS5	SD.AS5.1	127.28	0	0	0	0	0	1.446007969	0	0.278506798	1.446007969	6.751933205	-1.911785932	0.278506798	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932
SD.AS5.2	1/1/55	D	TD	20180209	4.26	529	24055	F5	second	S	SD	TD	y	ok	SD_second	0.1122	-1.10435518	1	3.725148658	172.6986312	5.946025364	5.946025364	57	6.331661949	S.AS5	SD.AS5.2	247.65	0.676815652	0	0	0	0	0.676815652	0.676815652	1.943717191	0.676815652	6.331661949	0.676815652	1.943717191	0.676815652	-1.911785932	-1.911785932	-1.911785932	-1.911785932
DD.AS6.1	1.1.275	D	D	20180110	8.4	701	59010	F6	first	S	DD	SD	y	ok	DD_first	1.7858	-0.803173311	1	1.33253576	86.60730054	1.092799384	1.092799384	2	7.018518221	S.AS6	DD.AS6.1	139.17	0.008844395	0	0	0.008844395	0	0	0.008844395	1.919064202	-1.911785932	7.018518221	0.008844395	1.919064202	0.008844395	0.008844395	-1.911785932	-1.911785932	-1.911785932
DD.AS6.2	1.1.275	D	D	20180209	8.99	687	47053	F6	second	D	DD	SD	y	ok	DD_second	0.7226	-1.856693428	1	0.84813882	78.70815571	0.243504843	0.243504843	2	8.020696368	D.AS6	DD.AS6.2	188.05	0	0	0	0	0	0.243504843	0.940139549	2.259655915	0.243504843	8.020696368	0.940139549	2.259655915	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932
SS.AS8.1	1/1/55	S	S	20180110	2.73	482	119922	F8	first	S	SS	SS	y	ok	SS_first	0.0536	-0.369603879	-1	1.349759044	89.25187008	0.591240444	0.591240444	2	6.270022371	S.AS8	SS.AS8.1	45.25	0	0	0	0	0	0	0	1.021175452	-1.911785932	6.270022371	-0.044489105	1.021175452	-1.911785932	-1.911785932	-1.911785932	-1.911785932	-1.911785932
SS.AS8.2	1/1/55	S	S	20180209	3.14	473	137447	F8	second	S	SS	SS	y	ok	SS_second	-0.6606	-0.914440744	-0.666666667	6.797324297	234.7229155	10.57243466	10.57243466	753	2.053723877	S.AS8	SS.AS8.2	179.87	1.213939887	0	2.962912395	2.053723877	0	0	0	0	-1.911785932	2.053723877	-1.911785932	-1.911785932	1.213939887	2.053723877	-1.911785932	-1.911785932	2.962912395
SD.AS9.1	B2.left	S	S	20171223	2.15	441	122838	F9	first	D	SD	IS	n	ok	SD_first	-0.7522	-0.361456505	-1	3.529398712	85.28273308	5.229958728	5.229958728	44	7.933874965	D.AS9	SD.AS9.1	-169.15	0	0.569423047	0	0	0	0.569423047	2.705025742	0	0.569423047	7.933874965	2.705025742	-1.911785932	-1.911785932	-1.911785932	-1.911785932	0.569423047	-1.911785932
