OTU_ID	D.AS10.1	D.AS10.2	D.AS11.2	D.AS13.1	D.AS14.2	D.AS15.2	D.AS16.1	D.AS18.2	D.AS2.1	D.AS22.1	D.AS22.2	D.AS23.2	D.AS5.1	D.AS6.2	D.AS7.2	D.AS9.1	NA.AS12.1	S.AS1.2	S.AS11.1	S.AS13.2	S.AS15.1	S.AS16.2	S.AS17.1	S.AS17.2	S.AS18.1	S.AS20.1	S.AS20.2	S.AS23.1	S.AS24.2	S.AS3.1	S.AS4.2	S.AS5.2	S.AS6.1	S.AS8.1	S.AS8.2
OTU_176	0	0	9	13	2	4	1	20	22	3	0	0	2	6	0	65	0	0	0	1	0	6	9	17	19	0	3	0	0	0	0	0	13	0	0
OTU_260	9	0	16	34	1	26	0	57	39	8	1	0	3	10	0	136	0	0	0	11	0	12	9	33	21	4	8	0	0	0	0	0	33	0	0
OTU_5	775	7	11010	5658	174	8975	81	13505	3759	844	581	286	1776	2912	38	15270	10	94	14	1572	16	20431	2316	5043	11705	2102	1361	21	11	29	5	10	4701	4	424
OTU_284	0	0	55	14	0	15	0	27	11	0	0	0	9	0	0	50	0	0	0	0	0	138	2	21	89	0	0	0	0	0	0	0	19	0	0
OTU_8	107	1	2328	595	1	288	16	1679	316	117	38	1	351	41	1	1848	1	2	4	14	0	8553	236	1555	1833	1	362	0	0	5	0	1	597	0	18
OTU_45	11	0	351	55	0	103	3	235	52	7	1	0	61	20	0	239	0	0	0	6	1	472	69	188	517	0	19	0	0	0	0	0	60	0	3
OTU_258	2	0	93	8	0	19	0	40	9	3	0	0	11	4	0	35	0	0	0	1	0	73	12	40	133	1	5	0	0	0	0	0	13	0	0
OTU_354	0	0	28	4	0	10	0	25	4	0	1	0	8	0	0	11	0	0	0	1	0	21	9	14	39	0	1	0	0	0	0	0	7	0	0
OTU_31	77	1	960	170	21	594	8	789	196	52	92	45	172	365	7	868	0	3	1	203	0	553	362	337	1006	241	196	2	4	3	2	1	150	0	18
OTU_213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
OTU_51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	306	0	0	2	0	3	0	2	0	0	0	1	0	1	0
OTU_42	0	0	2	56	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	3	0	0	4	8	0	0	2	40	275	1
OTU_11	1	9587	0	0	0	0	8	0	24	3	0	0	0	0	0	33	0	3	9	2	0	0	2	0	0	1	0	0	0	0	0	0	0	3	2
OTU_28	0	1986	0	0	2	0	1	0	4	1	1	0	0	0	0	6	0	0	11	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0
OTU_76	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
